method_id,dataset_id,eval_paper_title,eval_date,eval_year,eval_month,eval_day,task_id
pwc:method/mei,pwc:dataset/wn18rr,Multi_Partition_Embedding_Interaction_with_Block_Term_Format_for_Knowledge_Graph_Completion,2020-06-29,2020,6,29,pwc:task/link-prediction
pwc:method/tucker,pwc:dataset/wn18rr,TuckER__Tensor_Factorization_for_Knowledge_Graph_Completion,2019-01-28,2019,1,28,pwc:task/link-prediction
pwc:method/transe,pwc:dataset/umls,Translating_Embeddings_for_Modeling_Multi_relational_Data,2013-12-01,2013,12,1,pwc:task/link-prediction
pwc:method/rotate,pwc:dataset/fb122,RotatE__Knowledge_Graph_Embedding_by_Relational_Rotation_in_Complex_Space,2019-02-26,2019,2,26,pwc:task/link-prediction
pwc:method/transe,pwc:dataset/fb122,Translating_Embeddings_for_Modeling_Multi_relational_Data,2013-12-01,2013,12,1,pwc:task/link-prediction
pwc:method/egt,pwc:dataset/tsp-hcp-benchmark-set,Global_Self_Attention_as_a_Replacement_for_Graph_Convolution,2021-08-07,2021,8,7,pwc:task/link-prediction
pwc:method/complex-n3-rp,pwc:dataset/fb15k-237,Relation_Prediction_as_an_Auxiliary_Training_Objective_for_Improving_Multi_Relational_Graph_Representations,2021-10-06,2021,10,6,pwc:task/link-prediction
pwc:method/safran,pwc:dataset/fb15k-237,SAFRAN__An_interpretable__rule_based_link_prediction_method_outperforming_embedding_models,2021-09-16,2021,9,16,pwc:task/link-prediction
pwc:method/mei,pwc:dataset/fb15k-237,Multi_Partition_Embedding_Interaction_with_Block_Term_Format_for_Knowledge_Graph_Completion,2020-06-29,2020,6,29,pwc:task/link-prediction
pwc:method/tucker,pwc:dataset/fb15k-237,TuckER__Tensor_Factorization_for_Knowledge_Graph_Completion,2019-01-28,2019,1,28,pwc:task/link-prediction
pwc:method/tucker-rp,pwc:dataset/fb15k-237,Relation_Prediction_as_an_Auxiliary_Training_Objective_for_Improving_Multi_Relational_Graph_Representations,2021-10-06,2021,10,6,pwc:task/link-prediction
pwc:method/rotate,pwc:dataset/fb15k-237,RotatE__Knowledge_Graph_Embedding_by_Relational_Rotation_in_Complex_Space,2019-02-26,2019,2,26,pwc:task/link-prediction
pwc:method/rotate,pwc:dataset/fb15k-237,GraphVite__A_High_Performance_CPU_GPU_Hybrid_System_for_Node_Embedding,2019-03-02,2019,3,2,pwc:task/link-prediction
pwc:method/transe,pwc:dataset/fb15k-237,Translating_Embeddings_for_Modeling_Multi_relational_Data,2013-12-01,2013,12,1,pwc:task/link-prediction
pwc:method/cp-n3-rp-1,pwc:dataset/fb15k-237,Relation_Prediction_as_an_Auxiliary_Training_Objective_for_Improving_Multi_Relational_Graph_Representations,2021-10-06,2021,10,6,pwc:task/link-prediction
pwc:method/kgrefiner,pwc:dataset/fb15k-237,KGRefiner__Knowledge_Graph_Refinement_for_Improving_Accuracy_of_Translational_Link_Prediction_Methods,2021-06-27,2021,6,27,pwc:task/link-prediction
pwc:method/complex-n3-rp,pwc:dataset/codex-medium,Relation_Prediction_as_an_Auxiliary_Training_Objective_for_Improving_Multi_Relational_Graph_Representations,2021-10-06,2021,10,6,pwc:task/link-prediction
pwc:method/tucker,pwc:dataset/codex-medium,CoDEx__A_Comprehensive_Knowledge_Graph_Completion_Benchmark,2020-09-16,2020,9,16,pwc:task/link-prediction
pwc:method/rescal,pwc:dataset/codex-medium,CoDEx__A_Comprehensive_Knowledge_Graph_Completion_Benchmark,2020-09-16,2020,9,16,pwc:task/link-prediction
pwc:method/transe,pwc:dataset/codex-medium,CoDEx__A_Comprehensive_Knowledge_Graph_Completion_Benchmark,2020-09-16,2020,9,16,pwc:task/link-prediction
pwc:method/rotate,pwc:dataset/wn18,RotatE__Knowledge_Graph_Embedding_by_Relational_Rotation_in_Complex_Space,2019-02-26,2019,2,26,pwc:task/link-prediction
pwc:method/tucker,pwc:dataset/wn18,TuckER__Tensor_Factorization_for_Knowledge_Graph_Completion,2019-01-28,2019,1,28,pwc:task/link-prediction
pwc:method/transe,pwc:dataset/wn18,Translating_Embeddings_for_Modeling_Multi_relational_Data,2013-12-01,2013,12,1,pwc:task/link-prediction
pwc:method/ilvr,pwc:dataset/celeba,Zero_Shot_Image_Restoration_Using_Denoising_Diffusion_Null_Space_Model,2022-12-01,2022,12,1,pwc:task/image-super-resolution
pwc:method/pulse,pwc:dataset/celeba,Zero_Shot_Image_Restoration_Using_Denoising_Diffusion_Null_Space_Model,2022-12-01,2022,12,1,pwc:task/image-super-resolution
pwc:method/ilvr,pwc:dataset/imagenet,Zero_Shot_Image_Restoration_Using_Denoising_Diffusion_Null_Space_Model,2022-12-01,2022,12,1,pwc:task/image-super-resolution
pwc:method/basicvsr,pwc:dataset/msu-vsr-benchmark,BasicVSR__The_Search_for_Essential_Components_in_Video_Super_Resolution_and_Beyond,2020-12-03,2020,12,3,pwc:task/video-super-resolution
pwc:method/rbpn,pwc:dataset/msu-vsr-benchmark,Recurrent_Back_Projection_Network_for_Video_Super_Resolution,2019-03-25,2019,3,25,pwc:task/video-super-resolution
pwc:method/svm,pwc:dataset/phyaat,PhyAAt__Physiology_of_Auditory_Attention_to_Speech_Dataset,2020-05-23,2020,5,23,pwc:task/attention-score-prediction
pwc:method/svm,pwc:dataset/phyaat,PhyAAt__Physiology_of_Auditory_Attention_to_Speech_Dataset,2020-05-23,2020,5,23,pwc:task/semanticity-prediction
pwc:method/svm,pwc:dataset/phyaat,PhyAAt__Physiology_of_Auditory_Attention_to_Speech_Dataset,2020-05-23,2020,5,23,pwc:task/noise-level-prediction
pwc:method/svm,pwc:dataset/phyaat,PhyAAt__Physiology_of_Auditory_Attention_to_Speech_Dataset,2020-05-23,2020,5,23,pwc:task/lwr-classification
pwc:method/arcface,pwc:dataset/casia-webface-masks,ArcFace__Additive_Angular_Margin_Loss_for_Deep_Face_Recognition,2018-01-23,2018,1,23,pwc:task/face-recognition
pwc:method/arcface,pwc:dataset/celeba-masks,ArcFace__Additive_Angular_Margin_Loss_for_Deep_Face_Recognition,2018-01-23,2018,1,23,pwc:task/face-recognition
pwc:method/srn,pwc:dataset/pascal-face,Selective_Refinement_Network_for_High_Performance_Face_Detection,2018-09-07,2018,9,7,pwc:task/face-detection
pwc:method/stn,pwc:dataset/pascal-face,Supervised_Transformer_Network_for_Efficient_Face_Detection,2016-07-19,2016,7,19,pwc:task/face-detection
pwc:method/srn,pwc:dataset/fddb,Selective_Refinement_Network_for_High_Performance_Face_Detection,2018-09-07,2018,9,7,pwc:task/face-detection
pwc:method/arcface,pwc:dataset/ijb-c,ArcFace__Additive_Angular_Margin_Loss_for_Deep_Face_Recognition,2018-01-23,2018,1,23,pwc:task/face-verification
pwc:method/fpn,pwc:dataset/ijb-b,FacePoseNet__Making_a_Case_for_Landmark_Free_Face_Alignment,2017-08-24,2017,8,24,pwc:task/face-verification
pwc:method/fpn,pwc:dataset/ijb-a,FacePoseNet__Making_a_Case_for_Landmark_Free_Face_Alignment,2017-08-24,2017,8,24,pwc:task/face-verification
pwc:method/dcnn,pwc:dataset/ijb-a,Unconstrained_Face_Verification_using_Deep_CNN_Features,2015-08-07,2015,8,7,pwc:task/face-verification
pwc:method/vgg,pwc:dataset/fer2013,Facial_Expression_Recognition_using_Convolutional_Neural_Networks__State_of_the_Art,2016-12-09,2016,12,9,pwc:task/facial-expression-recognition
pwc:method/lipgan,pwc:dataset/lrw,Towards_Automatic_Face_to_Face_Translation,2020-03-01,2020,3,1,pwc:task/talking-face-generation
pwc:method/mobilenetv2,pwc:dataset/300w,ASMNet__a_Lightweight_Deep_Neural_Network_for_Face_Alignment_and_Pose_Estimation,2021-02-27,2021,2,27,pwc:task/face-alignment
pwc:method/mobilenetv2,pwc:dataset/wflw,ASMNet__a_Lightweight_Deep_Neural_Network_for_Face_Alignment_and_Pose_Estimation,2021-02-27,2021,2,27,pwc:task/face-alignment
pwc:method/hrnet,pwc:dataset/cofw,High_Resolution_Representations_for_Labeling_Pixels_and_Regions,2019-04-09,2019,4,9,pwc:task/face-alignment
pwc:method/efficientnet,pwc:dataset/cofw,Facial_Landmark_Points_Detection_Using_Knowledge_Distillation_Based_Neural_Networks,2021-11-13,2021,11,13,pwc:task/face-alignment
pwc:method/nafnet,pwc:dataset/gopro,Simple_Baselines_for_Image_Restoration,2022-04-10,2022,4,10,pwc:task/deblurring
pwc:method/mprnet,pwc:dataset/gopro,Multi_Stage_Progressive_Image_Restoration,2021-02-04,2021,2,4,pwc:task/deblurring
pwc:method/dbgan,pwc:dataset/gopro,Deblurring_by_Realistic_Blurring,2020-04-04,2020,4,4,pwc:task/deblurring
pwc:method/srn,pwc:dataset/gopro,Scale_recurrent_Network_for_Deep_Image_Deblurring,2018-02-06,2018,2,6,pwc:task/deblurring
pwc:method/mprnet,pwc:dataset/rsblur,Multi_Stage_Progressive_Image_Restoration,2021-02-04,2021,2,4,pwc:task/deblurring
pwc:method/deca,pwc:dataset/now-benchmark,Learning_an_Animatable_Detailed_3D_Face_Model_from_In_The_Wild_Images,2020-12-07,2020,12,7,pwc:task/3d-face-reconstruction
pwc:method/fpn,pwc:dataset/300w,FacePoseNet__Making_a_Case_for_Landmark_Free_Face_Alignment,2017-08-24,2017,8,24,pwc:task/facial-landmark-detection
pwc:method/fpn,pwc:dataset/ijb-b,FacePoseNet__Making_a_Case_for_Landmark_Free_Face_Alignment,2017-08-24,2017,8,24,pwc:task/face-identification
pwc:method/fpn,pwc:dataset/ijb-a,FacePoseNet__Making_a_Case_for_Landmark_Free_Face_Alignment,2017-08-24,2017,8,24,pwc:task/face-identification
pwc:method/f2dnet,pwc:dataset/citypersons,F2DNet__Fast_Focal_Detection_Network_for_Pedestrian_Detection,2022-03-04,2022,3,4,pwc:task/pedestrian-detection
pwc:method/yolop,pwc:dataset/bdd100k,YOLOP__You_Only_Look_Once_for_Panoptic_Driving_Perception,2021-08-25,2021,8,25,pwc:task/lane-detection
pwc:method/densenet,pwc:dataset/uav-human,Densely_Connected_Convolutional_Networks,2016-08-25,2016,8,25,pwc:task/pedestrian-attribute-recognition
pwc:method/resnet,pwc:dataset/uav-human,Deep_Residual_Learning_for_Image_Recognition,2015-12-10,2015,12,10,pwc:task/pedestrian-attribute-recognition
pwc:method/msgan,pwc:dataset/afhq,Mode_Seeking_Generative_Adversarial_Networks_for_Diverse_Image_Synthesis,2019-03-13,2019,3,13,pwc:task/multimodal-unsupervised-image-to-image
pwc:method/msgan,pwc:dataset/celeba-hq,Mode_Seeking_Generative_Adversarial_Networks_for_Diverse_Image_Synthesis,2019-03-13,2019,3,13,pwc:task/multimodal-unsupervised-image-to-image
pwc:method/unetxst,pwc:dataset/cam2bev,A_Sim2Real_Deep_Learning_Approach_for_the_Transformation_of_Images_from_Multiple_Vehicle_Mounted_Cameras_to_a_Semantically_Segmented_Image_in_Bird_s_Eye_View,2020-05-08,2020,5,8,pwc:task/cross-view-image-to-image-translation
pwc:method/cyclegan,pwc:dataset/rafd,Unpaired_Image_to_Image_Translation_using_Cycle_Consistent_Adversarial_Networks,2017-03-30,2017,3,30,pwc:task/image-to-image-translation
pwc:method/sagan,pwc:dataset/ixi-dataset,ResViT__Residual_vision_transformers_for_multi_modal_medical_image_synthesis,2021-06-30,2021,6,30,pwc:task/image-to-image-translation
pwc:method/svm,pwc:dataset/pacs,Deeper__Broader_and_Artier_Domain_Generalization,2017-10-09,2017,10,9,pwc:task/domain-generalization
pwc:method/sps,pwc:dataset/office-31,Unsupervised_Domain_Adaptation_via_Structured_Prediction_Based_Selective_Pseudo_Labeling,2019-11-18,2019,11,18,pwc:task/domain-adaptation
pwc:method/sps,pwc:dataset/imageclef-da,Unsupervised_Domain_Adaptation_via_Structured_Prediction_Based_Selective_Pseudo_Labeling,2019-11-18,2019,11,18,pwc:task/domain-adaptation
pwc:method/sps,pwc:dataset/office-home,Unsupervised_Domain_Adaptation_via_Structured_Prediction_Based_Selective_Pseudo_Labeling,2019-11-18,2019,11,18,pwc:task/domain-adaptation
pwc:method/lstm,pwc:dataset/timit,The_PyTorch_Kaldi_Speech_Recognition_Toolkit,2018-11-19,2018,11,19,pwc:task/speech-recognition
pwc:method/gru,pwc:dataset/timit,The_PyTorch_Kaldi_Speech_Recognition_Toolkit,2018-11-19,2018,11,19,pwc:task/speech-recognition
pwc:method/t5,pwc:dataset/sgd,The_GEM_Benchmark__Natural_Language_Generation__its_Evaluation_and_Metrics,2021-02-02,2021,2,2,pwc:task/task-oriented-dialogue-systems
pwc:method/bart,pwc:dataset/sgd,The_GEM_Benchmark__Natural_Language_Generation__its_Evaluation_and_Metrics,2021-02-02,2021,2,2,pwc:task/task-oriented-dialogue-systems
pwc:method/albert,pwc:dataset/spoken-squad,End_to_end_Spoken_Conversational_Question_Answering__Task__Dataset_and_Model,2022-04-29,2022,4,29,pwc:task/spoken-language-understanding
pwc:method/bert,pwc:dataset/helsinki-prosody-corpus,Predicting_Prosodic_Prominence_from_Text_with_Pre_trained_Contextualized_Word_Representations,2019-08-06,2019,8,6,pwc:task/prosody-prediction
pwc:method/bilstm,pwc:dataset/helsinki-prosody-corpus,Predicting_Prosodic_Prominence_from_Text_with_Pre_trained_Contextualized_Word_Representations,2019-08-06,2019,8,6,pwc:task/prosody-prediction
